culture	rulecut
experience	creepexine
education	ideacount
symbol	bylsom
effect	fetcef
liberty	bylitre
affair	rafifa
comfort	fromcot
tradition	idiotrant
fall	lalf
subject	jestcub
object	tecjob
source	ources
revolution	virtueloon
pollution	untilloop
system	tessym
triumph	upmirth
respect	sceptre
communication	comicmountain
foundation	dofountain
glory	lyrgo
situation	astuition
competition	impoeticnot
pad	adp
prairie	irepair
effort	foftor
section	notices
rein	neir
solution	insorout
honor	nhoro
unity	tuniy
population	upoptional
direction	cretinoid
dialogue	doaguile
republic	burplice
method	dothem
increase	asincere
decrease	careseed
amount	manout
ancestor	sonectar
voyage	gaoevy
sculpture	upcluster
instrument	imsternnut
figure	regifu
activity	itcavity
cause	suace
worth	throw
accident	citedcan
adventure	evadeturn
view	wvie
relative	evilrate
superstition	tipsroutines
habit	bitha
wealth	thewal
treasure	tureears
universe	surevein
adult	lutda
feast	tesfa
resource	recourse
apple	palep
banana	abanna
pineapple	papplenie
grapes	pesrap
egg	geg
tooth	thoto
ball	albl
baseball	sallbabe
soccer	cescor
water	tawer
computer	cuteromp
bottle	tolebt
candy	nydca
sugar	ragus
lemon	melon
melon	lemon
bird	bidr
tiger	retig
lion	onli
arrow	worar
bow	obw
sword	dorws
mace	eamc
towel	owtle
shower	owsher
food	dofo
flower	ferlwo
hamburger	harmurbeg
syrup	pusyr
tomato	maotto
potato	aoptto
sweetpotato	sweteaoptto
onion	oinon
life	feil
loan	alon
lotion	tiolon
sun	uns
moon	omno
monday	doaymo
river	virer
door	odro
